group,n,mean_phq8,grand_mean,internal_residual,internal_d,direction
Asian,483,7.03,8.01,-0.98,-0.36,SUPPRESSES
Black,482,8.45,8.01,0.44,0.16,ELEVATES
Cisgender Man,467,6.44,8.01,-1.58,-0.59,SUPPRESSES
Cisgender Woman,481,7.5,8.01,-0.52,-0.19,SUPPRESSES
High SES,713,5.12,8.01,-2.9,-1.95,SUPPRESSES
Low SES,717,10.9,8.01,2.88,1.95,ELEVATES
Transgender Woman,482,10.06,8.01,2.04,0.79,ELEVATES
White,465,8.58,8.01,0.57,0.2,ELEVATES
