factor,ss,df,ms,f_stat,p_value,eta_squared,pct_variance
race,706.8543,2,353.4271,21.2171,0.0,0.028898,2.8898
gender,3261.8006,2,1630.9003,113.3319,0.0,0.133349,13.3349
ses,11925.3581,1,11925.3581,1980.9059,0.0,0.487532,48.7532
model,543.1704,3,181.0568,32.0434,0.0,0.022206,2.2206
framing,135.7187,1,135.7187,24.4156,1e-06,0.005548,0.5548
residual,7887.7895,,,,,0.322468,32.2468
