instrument,n,Low,High,Low-High,d,p,SES_eta2%,gender%,race%,model%
PHQ8,1430,10.9,5.12,5.78,1.95,6.7e-207,48.9,13.5,2.9,2.0
GAD7,1430,9.42,4.99,4.44,1.49,6.4e-138,35.8,17.5,2.6,9.4
AUDIT_C,1430,3.32,3.12,0.2,0.12,2.8e-02,0.3,9.0,12.2,18.7
PCL5,1430,6.24,2.35,3.89,1.47,1.5e-131,35.2,17.8,3.8,7.5
